TIME,GEO,UNIT,COICOP,Value,Flag and Footnotes
1997/05,Malta,Annual rate of change,All-items HICP,3.4,
1997/05,Netherlands,Annual rate of change,All-items HICP,1.6,
1997/05,Austria,Annual rate of change,All-items HICP,1.3,
1997/05,Poland,Annual rate of change,All-items HICP,14.4,d
1997/05,Portugal,Annual rate of change,All-items HICP,1.9,
1997/05,Romania,Annual rate of change,All-items HICP,174.2,
1997/05,Slovenia,Annual rate of change,All-items HICP,7.9,
1997/05,Slovakia,Annual rate of change,All-items HICP,5.9,
1997/05,Finland,Annual rate of change,All-items HICP,0.9,
1997/05,Sweden,Annual rate of change,All-items HICP,1.2,
1997/05,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.5,
1997/05,Iceland,Annual rate of change,All-items HICP,1.5,
1997/05,Norway,Annual rate of change,All-items HICP,2.7,
1997/05,Switzerland,Annual rate of change,All-items HICP,:,
1997/05,United Kingdom,Annual rate of change,All-items HICP,1.6,
1997/05,North Macedonia,Annual rate of change,All-items HICP,:,
1997/05,Serbia,Annual rate of change,All-items HICP,:,
1997/05,Turkey,Annual rate of change,All-items HICP,76.5,d
1997/05,United States,Annual rate of change,All-items HICP,:,
1997/06,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.5,
1997/06,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/06,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/06,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.4,
1997/06,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.5,
1997/06,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.5,
1997/06,Belgium,Annual rate of change,All-items HICP,1.6,
1997/06,Bulgaria,Annual rate of change,All-items HICP,:,
1997/06,Czechia,Annual rate of change,All-items HICP,6.5,
1997/06,Denmark,Annual rate of change,All-items HICP,2.4,
1997/06,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.5,
1997/06,Estonia,Annual rate of change,All-items HICP,8.5,
1997/06,Ireland,Annual rate of change,All-items HICP,1.4,
1997/06,Greece,Annual rate of change,All-items HICP,5.6,
1997/06,Spain,Annual rate of change,All-items HICP,1.4,
1997/06,France,Annual rate of change,All-items HICP,1,
1997/06,Croatia,Annual rate of change,All-items HICP,:,
1997/06,Italy,Annual rate of change,All-items HICP,1.6,
1997/06,Cyprus,Annual rate of change,All-items HICP,2.7,
1997/06,Latvia,Annual rate of change,All-items HICP,7.5,
1997/06,Lithuania,Annual rate of change,All-items HICP,8.9,
1997/06,Luxembourg,Annual rate of change,All-items HICP,1.2,
1997/06,Hungary,Annual rate of change,All-items HICP,18.9,d
1997/06,Malta,Annual rate of change,All-items HICP,3.8,
1997/06,Netherlands,Annual rate of change,All-items HICP,1.5,
1997/06,Austria,Annual rate of change,All-items HICP,1,
1997/06,Poland,Annual rate of change,All-items HICP,15.4,d
1997/06,Portugal,Annual rate of change,All-items HICP,1.6,
1997/06,Romania,Annual rate of change,All-items HICP,177.7,
1997/06,Slovenia,Annual rate of change,All-items HICP,7.8,
1997/06,Slovakia,Annual rate of change,All-items HICP,6.1,
1997/06,Finland,Annual rate of change,All-items HICP,1.1,
1997/06,Sweden,Annual rate of change,All-items HICP,1.6,
1997/06,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.5,
1997/06,Iceland,Annual rate of change,All-items HICP,1.6,
1997/06,Norway,Annual rate of change,All-items HICP,2.9,
1997/06,Switzerland,Annual rate of change,All-items HICP,:,
